tx_id,user_id,amount,tx_date
10097,525,5000,2026-08-05
10098,507,1500,2026-08-05
10099,509,-3000,2026/08/03
10100,524,1500,2026-08-05
10101,501,5000,broken_date
10102,544,2500,2026-08-01
10103,508,2500,broken_date
10104,524,    ,2026/08/03
10105,511,12300,2026/08/03
10106,517,12300,broken_date
10107,508,,2026-08-05
10108,535,5000,2026-08-05
10109,535,,2026/08/03
10110,533,2500,02.08.2026
10111,505,2500,2026-08-05
10112,542,5000,broken_date
10113,539,5000,2026-08-05
10114,541,,broken_date
10115,528,12300,2026/08/03
10116,507,2500,2026-08-05
10117,509,null_error,broken_date
10118,508,5000,2026/08/03
10119,512,5000,02.08.2026
10120,534,1500,broken_date
10121,533,null_error,02.08.2026
10122,548,5000,02.08.2026
10123,523,12300,2026-08-01
10124,524,2500,2026-08-05
10125,537,1500,broken_date
10126,535,1500,02.08.2026
10127,544,1500,2026-08-01
10128,540,12300,2026/08/03
10129,522,2500,broken_date
10130,527,2500,02.08.2026
10131,535,1500,2026-08-05
10132,501,2500,2026-08-01
10133,535,1500,02.08.2026
10134,537,2500,2026-08-05
10135,547,1500,02.08.2026
10136,514,5000,broken_date
10137,503,12300,broken_date
10138,501,1500,broken_date
10139,505,null_error,2026-08-01
10140,526,5000,broken_date
10141,514,12300,2026-08-05
10142,539,1500,02.08.2026
10143,527,5000,2026/08/03
10144,509,12300,2026-08-05
10145,515,12300,2026-08-05
10146,515,1500,broken_date
10147,526,2500,2026-08-01
10148,542,,02.08.2026
10149,513,,2026-08-01
10150,532,12300,02.08.2026
10151,539,12300,02.08.2026
10152,549,5000,2026-08-01
10153,532,1500,2026-08-05
10154,504,null_error,02.08.2026
10155,530,5000,2026-08-01
10156,537,2500,02.08.2026
10157,523,12300,2026/08/03
10158,539,2500,2026-08-05
10159,545,2500,broken_date
10160,515,12300,02.08.2026
10161,543,5000,2026/08/03
10162,529,2500,broken_date
10163,536,5000,broken_date
10164,513,12300,02.08.2026
10165,532,1500,2026-08-01
10166,507,12300,02.08.2026
10167,522,-4500,2026/08/03
10168,528,1500,broken_date
10169,502,5000,02.08.2026
10170,542,12300,2026-08-01
10171,545,5000,02.08.2026
10172,506,12300,2026-08-05
10173,528,12300,2026-08-01
10174,528,12300,2026/08/03
10175,544,12300,broken_date
10176,544,12300,02.08.2026
10177,520,1500,2026-08-01
10178,530,1500,2026-08-05
10179,511,12300,2026-08-01
10180,528,2500,2026-08-05
10181,525,-3000,2026/08/03
10182,539,1500,broken_date
10183,533,,2026/08/03
10184,501,2500,02.08.2026
10185,527,12300,2026-08-01
10186,513,1500,2026-08-05
10187,541,5000,2026-08-05
10188,503,1500,2026-08-01
10189,539,2500,2026-08-01
10190,506,1500,02.08.2026
10191,508,    ,2026/08/03
10192,527,2500,2026-08-05
10193,509,12300,02.08.2026
10194,537,1500,2026/08/03
10195,533,,02.08.2026
10196,542,12300,2026-08-05
10197,544,5000,2026-08-01
10198,524,    ,2026-08-01
10199,515,5000,2026/08/03
10200,532,1500,broken_date
10201,532,    ,2026/08/03
10202,524,1500,broken_date
10203,541,2500,02.08.2026
10204,549,null_error,02.08.2026
10205,549,    ,2026-08-05
10206,512,1500,broken_date
10207,539,5000,2026-08-05
10208,502,null_error,2026-08-01
10209,503,5000,broken_date
10210,549,2500,2026/08/03
10211,537,2500,2026-08-01
10212,549,5000,2026-08-01
10213,517,-4500,2026/08/03
10214,549,2500,2026-08-01
10215,502,-3000,broken_date
10216,502,5000,2026-08-05
10217,528,12300,2026-08-01
10218,523,,broken_date
10219,537,5000,02.08.2026
10220,532,null_error,broken_date
10221,533,2500,2026-08-05
10222,501,    ,broken_date
10223,519,1500,2026/08/03
10224,502,-3000,2026-08-05
10225,544,5000,02.08.2026
10226,526,-4500,2026/08/03
10227,532,    ,broken_date
10228,506,-3000,2026-08-05
10229,532,5000,02.08.2026
10230,504,-3000,2026/08/03
10231,511,null_error,02.08.2026
10232,517,1500,broken_date
10233,538,-3000,02.08.2026
10234,524,null_error,2026-08-01
10235,505,12300,2026/08/03
10236,534,-3000,02.08.2026
10237,506,5000,broken_date
10238,522,1500,broken_date
10239,511,1500,02.08.2026
10240,548,,broken_date
10241,516,,2026-08-05
10242,533,-3000,2026-08-05
10243,509,1500,2026-08-05
10244,506,12300,2026-08-01
10245,516,12300,02.08.2026
10246,529,,2026-08-01
10247,503,-4500,broken_date
10248,520,1500,2026-08-01
10249,536,2500,broken_date
10250,519,,broken_date
10251,526,5000,2026/08/03
10252,503,-4500,2026-08-05
10253,519,2500,broken_date
10254,520,-3000,2026/08/03
10255,532,-4500,2026-08-05
10256,507,2500,broken_date
10257,541,,broken_date
10258,533,12300,2026-08-01
10259,540,1500,2026-08-01
10260,539,12300,2026-08-05
10261,518,5000,broken_date
10262,540,5000,02.08.2026
10263,501,2500,2026-08-01
10264,511,2500,2026-08-05
10265,528,,broken_date
10266,525,2500,broken_date
10267,523,2500,02.08.2026
10268,531,1500,2026-08-05
10269,530,-4500,broken_date
10270,542,5000,2026-08-01
10271,535,12300,02.08.2026
10272,507,1500,2026-08-05
10273,516,5000,02.08.2026
10274,526,12300,2026-08-01
10275,548,5000,2026-08-05
10276,549,1500,02.08.2026
10277,502,5000,2026/08/03
10278,501,,2026-08-01
10279,548,1500,2026-08-01
10280,512,5000,2026-08-01
10281,505,12300,2026/08/03
10282,537,2500,2026/08/03
10283,532,5000,broken_date
10284,509,2500,02.08.2026
10285,541,2500,broken_date
10286,535,5000,02.08.2026
10287,519,12300,2026/08/03
10288,548,12300,2026/08/03
10289,516,null_error,broken_date
10290,503,1500,2026-08-05
10291,520,    ,broken_date
10292,524,2500,02.08.2026
10293,533,12300,broken_date
10294,524,-4500,2026-08-01
10295,511,5000,02.08.2026
10296,549,2500,02.08.2026
10297,508,5000,2026-08-05
10298,536,1500,2026/08/03
10299,538,    ,02.08.2026
10300,540,,2026/08/03
10301,520,12300,broken_date
10302,535,,2026-08-01
10303,548,12300,2026-08-05
10304,525,-4500,2026/08/03
10305,535,2500,02.08.2026
10306,525,1500,2026/08/03
10307,529,5000,02.08.2026
10308,518,1500,2026/08/03
10309,546,null_error,02.08.2026
10310,518,5000,broken_date
10311,502,2500,02.08.2026
10312,535,2500,02.08.2026
10313,516,5000,2026-08-01
10314,541,12300,02.08.2026
10315,536,null_error,2026-08-01
10316,533,1500,2026-08-05
10317,504,1500,2026-08-01
10318,533,2500,broken_date
10319,514,1500,2026-08-01
10320,521,2500,2026-08-05
10321,548,    ,broken_date
10322,520,12300,2026/08/03
10323,508,5000,2026/08/03
10324,507,null_error,2026-08-01
10325,503,12300,2026-08-01
10326,517,-3000,2026-08-05
10327,533,2500,2026-08-05
10328,548,2500,02.08.2026
10329,512,-3000,2026-08-05
10330,522,-4500,02.08.2026
10331,522,,broken_date
10332,546,-3000,2026-08-01
10333,530,2500,broken_date
10334,538,1500,2026-08-05
10335,538,12300,broken_date
10336,545,2500,broken_date
10337,508,1500,broken_date
10338,527,5000,2026-08-05
10339,527,1500,broken_date
10340,534,5000,02.08.2026
10341,521,2500,2026-08-05
10342,530,12300,broken_date
10343,533,1500,2026-08-05
10344,528,2500,2026/08/03
10345,547,1500,02.08.2026
10346,533,5000,broken_date
10347,505,2500,2026/08/03
10348,548,-4500,2026/08/03
10349,519,    ,2026-08-05
10350,504,2500,2026/08/03
10351,535,12300,02.08.2026
10352,549,1500,02.08.2026
10353,517,2500,2026-08-01
10354,544,2500,02.08.2026
10355,528,-3000,2026/08/03
10356,530,1500,02.08.2026
10357,529,2500,2026-08-05
10358,546,12300,2026-08-01
10359,506,    ,2026/08/03
10360,535,2500,2026-08-01
10361,541,    ,2026/08/03
10362,537,2500,2026-08-05
10363,524,12300,2026-08-01
10364,529,2500,broken_date
10365,549,12300,2026/08/03
10366,546,1500,broken_date
10367,531,    ,2026-08-01
10368,535,5000,broken_date
10369,533,2500,broken_date
10370,521,1500,2026-08-01
10371,532,-3000,2026-08-05
10372,523,    ,broken_date
10373,533,2500,broken_date
10374,503,2500,2026-08-05
10375,518,5000,broken_date
10376,525,1500,broken_date
10377,542,,broken_date
10378,531,    ,02.08.2026
10379,503,12300,2026-08-05
10380,540,,broken_date
10381,546,    ,2026-08-05
10382,524,5000,2026/08/03
10383,532,12300,2026/08/03
10384,547,5000,broken_date
10385,522,12300,2026-08-05
10386,523,-3000,2026-08-05
10387,502,5000,2026-08-05
10388,527,12300,02.08.2026
10389,542,5000,2026/08/03
10390,502,2500,2026-08-05
10391,526,5000,2026-08-05
10392,517,1500,02.08.2026
10393,540,1500,02.08.2026
10394,533,12300,2026-08-05
10395,509,5000,2026-08-01
10396,543,null_error,2026-08-05
10397,548,,2026-08-05
10398,539,5000,02.08.2026
10399,529,null_error,02.08.2026
10400,542,5000,2026-08-05
10401,526,-3000,2026-08-05
10402,535,1500,2026-08-05
10403,525,5000,02.08.2026
10404,524,2500,2026-08-05
10405,513,1500,2026-08-05
10406,507,2500,broken_date
10407,536,    ,2026-08-01
10408,545,1500,2026/08/03
10409,520,1500,2026-08-01
10410,501,12300,broken_date
10411,508,-3000,2026/08/03
10412,546,1500,2026-08-05
10413,516,5000,broken_date
10414,514,12300,2026-08-05
10415,512,2500,02.08.2026
10416,523,5000,broken_date
10417,515,5000,02.08.2026
10418,528,5000,broken_date
10419,534,-4500,broken_date
10420,502,1500,02.08.2026
10421,532,12300,2026/08/03
10422,523,12300,2026-08-01
10423,522,,2026-08-05
10424,525,2500,broken_date
10425,522,2500,2026-08-05
10426,522,12300,02.08.2026
10427,549,,2026-08-05
10428,542,1500,02.08.2026
10429,506,12300,2026-08-05
10430,515,-3000,2026-08-01
10431,543,-3000,2026-08-01
10432,537,2500,2026-08-01
10433,533,-3000,2026-08-01
10434,508,5000,2026-08-01
10435,544,12300,2026-08-01
10436,544,12300,02.08.2026
10437,505,,broken_date
10438,539,12300,2026-08-05
10439,504,    ,2026-08-01
10440,506,-3000,02.08.2026
10441,545,1500,02.08.2026
10442,532,12300,02.08.2026
10443,530,2500,broken_date
10444,547,12300,2026-08-05
10445,535,-4500,broken_date
10446,540,12300,2026/08/03
10447,516,5000,02.08.2026
10448,513,1500,2026/08/03
10449,542,1500,2026-08-01
10450,530,5000,2026-08-01
10451,519,2500,broken_date
10452,517,12300,2026-08-05
10453,519,5000,2026/08/03
10454,528,-3000,2026-08-05
10455,526,    ,broken_date
10456,537,5000,2026-08-01
10457,526,2500,2026-08-05
10458,523,5000,2026-08-05
10459,509,    ,2026-08-01
10460,512,5000,2026/08/03
10461,501,1500,2026-08-01
10462,501,,2026-08-05
10463,547,12300,2026/08/03
10464,534,12300,2026/08/03
10465,532,-4500,2026-08-01
10466,548,-4500,2026-08-05
10467,525,null_error,broken_date
10468,540,5000,2026-08-05
10469,545,5000,02.08.2026
10470,501,-4500,broken_date
10471,516,2500,2026/08/03
10472,539,5000,broken_date
10473,505,-3000,2026/08/03
10474,522,2500,2026/08/03
10475,529,5000,broken_date
10476,503,12300,2026/08/03
10477,512,1500,2026/08/03
10478,526,2500,02.08.2026
10479,516,5000,2026-08-05
10480,537,1500,2026-08-05
10481,522,5000,02.08.2026
10482,529,12300,broken_date
10483,514,12300,2026-08-01
10484,528,5000,2026-08-01
10485,505,5000,2026-08-01
10486,547,-3000,02.08.2026
10487,549,12300,02.08.2026
10488,530,1500,2026/08/03
10489,546,-4500,2026-08-01
10490,505,1500,broken_date
10491,512,12300,broken_date
10492,516,1500,2026-08-01
10493,526,2500,2026-08-01
10494,526,12300,2026-08-01
10495,548,2500,02.08.2026
10496,521,5000,02.08.2026
10497,539,2500,02.08.2026
10498,536,2500,2026-08-05
10499,533,1500,broken_date
10500,530,1500,broken_date
10501,537,-4500,2026/08/03
10502,523,5000,02.08.2026
10503,510,5000,2026-08-05
10504,505,2500,2026-08-05
10505,536,null_error,broken_date
10506,534,-3000,02.08.2026
10507,531,    ,2026/08/03
10508,510,12300,02.08.2026
10509,519,12300,2026-08-01
10510,532,12300,02.08.2026
10511,501,5000,2026-08-01
10512,505,2500,2026-08-01
10513,545,5000,2026/08/03
10514,504,null_error,broken_date
10515,516,1500,02.08.2026
10516,524,1500,2026-08-01
10517,516,-3000,02.08.2026
10518,502,5000,broken_date
10519,549,1500,broken_date
10520,528,2500,2026-08-05
10521,532,-4500,broken_date
10522,527,12300,2026/08/03
10523,520,-4500,2026-08-01
10524,524,1500,2026-08-05
10525,512,12300,2026/08/03
10526,535,1500,02.08.2026
10527,533,    ,2026-08-01
10528,533,2500,broken_date
10529,543,5000,2026-08-01
10530,537,1500,02.08.2026
10531,512,5000,2026-08-05
10532,503,-3000,2026-08-05
10533,501,12300,2026-08-05
10534,533,12300,broken_date
10535,540,1500,2026/08/03
10536,510,1500,2026/08/03
10537,543,5000,2026-08-01
10538,544,2500,broken_date
10539,529,5000,2026-08-05
10540,513,2500,2026-08-05
10541,512,5000,02.08.2026
10542,531,1500,02.08.2026
10543,546,2500,2026-08-05
10544,502,5000,2026-08-05
10545,535,null_error,broken_date
10546,523,12300,2026/08/03
10547,517,12300,02.08.2026
10548,526,null_error,2026/08/03
10549,508,    ,broken_date
10550,529,,2026-08-05
10551,526,1500,2026/08/03
10552,510,2500,2026-08-05
10553,526,2500,2026-08-05
10554,534,5000,2026-08-01
10555,541,2500,2026/08/03
10556,507,1500,2026/08/03
10557,504,-3000,2026-08-05
10558,545,5000,broken_date
10559,511,2500,2026-08-01
10560,529,1500,2026-08-05
10561,536,1500,02.08.2026
10562,525,5000,02.08.2026
10563,521,-3000,2026-08-01
10564,536,1500,broken_date
10565,510,5000,2026-08-05
10566,537,null_error,2026/08/03
10567,509,-3000,2026-08-01
10568,524,2500,broken_date
10569,535,5000,2026/08/03
10570,549,-4500,02.08.2026
10571,535,-4500,02.08.2026
10572,548,-3000,2026/08/03
10573,536,5000,2026-08-01
10574,518,5000,02.08.2026
10575,549,2500,2026-08-05
10576,539,1500,2026/08/03
10577,532,5000,2026/08/03
10578,524,1500,02.08.2026
10579,523,12300,2026-08-01
10580,532,2500,2026-08-05
10581,537,1500,2026-08-01
10582,512,2500,broken_date
10583,549,5000,broken_date
10584,513,1500,02.08.2026
10585,523,5000,02.08.2026
10586,525,1500,02.08.2026
10587,535,5000,broken_date
10588,541,2500,2026-08-01
10589,530,12300,2026-08-01
10590,517,2500,02.08.2026
10591,549,1500,2026-08-05
10592,520,5000,2026-08-01
10593,548,12300,broken_date
10594,525,1500,2026/08/03
10595,522,5000,2026/08/03
10596,513,2500,2026/08/03
10597,519,5000,2026-08-05
10598,549,2500,02.08.2026
10599,536,12300,broken_date
10600,512,1500,2026-08-05
10601,541,12300,broken_date
10602,519,-4500,broken_date
10603,512,2500,02.08.2026
10604,509,1500,2026/08/03
10605,507,12300,02.08.2026
10606,528,1500,2026-08-05
10607,514,1500,2026-08-05
10608,531,1500,2026-08-05
10609,519,-3000,02.08.2026
10610,547,-4500,broken_date
10611,516,12300,broken_date
10612,505,1500,2026-08-01
10613,535,,2026-08-05
10614,512,5000,broken_date
10615,525,12300,2026-08-01
10616,521,2500,broken_date
10617,536,12300,2026-08-05
10618,523,1500,2026/08/03
10619,516,1500,2026-08-05
10620,539,1500,02.08.2026
10621,545,2500,broken_date
10622,542,,broken_date
10623,539,12300,02.08.2026
10624,514,12300,02.08.2026
10625,531,1500,2026/08/03
10626,505,12300,broken_date
10627,535,1500,broken_date
10628,523,1500,2026/08/03
10629,529,5000,2026-08-01
10630,543,1500,2026/08/03
10631,511,    ,2026-08-05
10632,518,2500,broken_date
10633,547,12300,02.08.2026
10634,512,2500,2026-08-05
10635,509,5000,broken_date
10636,510,1500,2026/08/03
10637,544,5000,2026-08-05
10638,517,1500,broken_date
10639,538,,2026-08-01
10640,507,2500,2026-08-01
10641,546,2500,02.08.2026
10642,513,5000,broken_date
10643,540,    ,2026-08-01
10644,542,5000,2026/08/03
10645,509,-4500,broken_date
10646,527,12300,2026/08/03
10647,502,2500,2026/08/03
10648,505,2500,2026-08-01
10649,529,1500,broken_date
10650,537,12300,2026-08-05
10651,538,5000,2026-08-01
10652,519,2500,2026-08-01
10653,508,1500,broken_date
10654,548,2500,broken_date
10655,545,-3000,2026/08/03
10656,501,1500,broken_date
10657,522,-3000,2026/08/03
10658,517,12300,2026-08-01
10659,507,2500,02.08.2026
10660,525,1500,2026-08-05
10661,545,5000,2026-08-01
10662,504,12300,broken_date
10663,536,2500,2026-08-05
10664,506,,02.08.2026
10665,531,5000,02.08.2026
10666,519,2500,2026/08/03
10667,544,1500,2026-08-05
10668,539,2500,2026/08/03
10669,527,5000,2026-08-01
10670,510,1500,2026-08-05
10671,526,12300,2026-08-01
10672,519,null_error,2026/08/03
10673,539,12300,2026-08-05
10674,503,-4500,2026/08/03
10675,545,12300,2026-08-05
10676,513,-3000,2026/08/03
10677,528,12300,02.08.2026
10678,520,-3000,2026/08/03
10679,528,2500,02.08.2026
10680,508,1500,2026/08/03
10681,541,-4500,2026-08-05
10682,539,-4500,2026-08-05
10683,501,2500,2026-08-05
10684,503,5000,broken_date
10685,513,12300,2026-08-01
10686,528,12300,2026-08-05
10687,549,5000,02.08.2026
10688,525,null_error,2026-08-05
10689,533,12300,broken_date
10690,538,5000,02.08.2026
10691,506,5000,broken_date
10692,544,1500,02.08.2026
10693,545,2500,2026/08/03
10694,532,5000,2026-08-01
10695,545,5000,2026-08-01
10696,547,,broken_date
10697,521,5000,2026-08-01
10698,516,2500,broken_date
10699,521,2500,broken_date
10700,511,2500,broken_date
10701,537,12300,2026-08-01
10702,536,-3000,broken_date
10703,535,5000,2026-08-01
10704,519,1500,broken_date
10705,520,1500,2026-08-05
10706,518,5000,broken_date
10707,547,5000,02.08.2026
10708,541,5000,broken_date
10709,549,null_error,2026/08/03
10710,514,2500,broken_date
10711,515,5000,02.08.2026
10712,531,2500,02.08.2026
10713,501,null_error,2026-08-01
10714,503,5000,2026-08-05
10715,516,5000,broken_date
10716,523,-3000,2026-08-01
10717,511,12300,2026-08-05
10718,512,    ,broken_date
10719,510,5000,2026/08/03
10720,532,12300,broken_date
10721,516,1500,02.08.2026
10722,508,null_error,02.08.2026
10723,538,2500,2026/08/03
10724,512,,2026-08-01
10725,524,1500,2026-08-05
10726,528,5000,broken_date
10727,508,1500,02.08.2026
10728,528,2500,2026-08-01
10729,536,5000,2026/08/03
10730,526,2500,02.08.2026
10731,508,5000,2026/08/03
10732,528,-3000,broken_date
10733,528,12300,2026-08-05
10734,537,-4500,02.08.2026
10735,541,5000,02.08.2026
10736,536,12300,broken_date
10737,527,12300,2026-08-01
10738,517,12300,2026-08-05
10739,509,2500,02.08.2026
10740,533,-3000,2026-08-05
10741,520,    ,02.08.2026
10742,513,12300,2026-08-05
10743,528,5000,2026/08/03
10744,548,2500,02.08.2026
10745,529,-4500,2026-08-05
10746,513,null_error,2026-08-01
10747,546,5000,2026/08/03
10748,535,5000,2026/08/03
10749,506,12300,2026-08-01
10750,518,    ,2026-08-05
10751,505,5000,broken_date
10752,547,null_error,2026-08-01
10753,525,2500,2026-08-05
10754,502,5000,2026-08-01
10755,510,2500,2026-08-01
10756,530,5000,02.08.2026
10757,545,-3000,2026-08-05
10758,505,12300,broken_date
10759,533,null_error,02.08.2026
10760,501,12300,2026-08-01
10761,518,1500,2026-08-01
10762,532,2500,2026-08-01
10763,547,12300,2026-08-05
10764,549,    ,2026-08-05
10765,511,    ,02.08.2026
10766,521,2500,broken_date
10767,526,12300,02.08.2026
10768,525,5000,2026/08/03
10769,522,1500,2026-08-01
10770,527,-3000,2026-08-01
10771,549,12300,2026-08-01
10772,513,    ,02.08.2026
10773,533,-4500,02.08.2026
10774,534,-4500,2026-08-01
10775,541,2500,02.08.2026
10776,535,5000,2026-08-05
10777,501,2500,2026-08-05
10778,521,5000,02.08.2026
10779,548,1500,2026-08-01
10780,506,1500,02.08.2026
10781,528,2500,02.08.2026
10782,517,1500,02.08.2026
10783,505,12300,2026/08/03
10784,531,5000,2026-08-05
10785,505,,broken_date
10786,538,1500,broken_date
10787,503,-3000,2026/08/03
10788,523,12300,02.08.2026
10789,537,2500,2026/08/03
10790,537,5000,2026/08/03
10791,510,12300,2026-08-01
10792,510,null_error,2026-08-05
10793,519,1500,broken_date
10794,517,2500,02.08.2026
10795,521,12300,broken_date
10796,514,-4500,broken_date
10797,509,1500,2026-08-05
10798,546,2500,broken_date
10799,501,1500,broken_date
10800,545,1500,2026/08/03
10801,513,1500,2026-08-05
10802,504,1500,2026-08-01
10803,501,1500,02.08.2026
10804,549,1500,broken_date
10805,540,null_error,02.08.2026
10806,532,5000,2026-08-01
10807,534,2500,02.08.2026
10808,528,2500,2026-08-01
10809,531,5000,2026/08/03
10810,508,2500,broken_date
10811,539,-4500,2026-08-01
10812,526,5000,02.08.2026
10813,534,2500,broken_date
10814,503,2500,2026/08/03
10815,512,12300,broken_date
10816,501,-3000,2026-08-01
10817,544,12300,2026/08/03
10818,505,5000,02.08.2026
10819,530,5000,2026/08/03
10820,530,2500,2026/08/03
10821,517,1500,2026-08-05
10822,548,2500,2026/08/03
10823,547,1500,2026/08/03
10824,523,5000,broken_date
10825,515,1500,02.08.2026
10826,537,-4500,broken_date
10827,521,12300,broken_date
10828,514,12300,2026-08-01
10829,502,12300,broken_date
10830,511,-4500,2026-08-05
10831,539,null_error,2026-08-05
10832,538,5000,2026-08-01
10833,534,5000,02.08.2026
10834,538,5000,02.08.2026
10835,534,null_error,broken_date
10836,518,12300,broken_date
10837,530,12300,broken_date
10838,515,2500,02.08.2026
10839,527,5000,2026/08/03
10840,534,1500,2026-08-05
10841,538,2500,2026/08/03
10842,533,2500,2026/08/03
10843,524,5000,02.08.2026
10844,515,-4500,2026/08/03
10845,530,12300,2026-08-01
10846,542,12300,broken_date
10847,517,1500,2026-08-01
10848,505,1500,2026-08-05
10849,529,,broken_date
10850,504,,2026/08/03
10851,510,2500,2026-08-05
10852,517,12300,broken_date
10853,510,1500,2026/08/03
10854,517,12300,2026-08-01
10855,520,    ,broken_date
10856,524,,2026/08/03
10857,505,12300,2026-08-01
10858,534,-4500,2026-08-05
10859,506,2500,2026-08-05
10860,502,-4500,2026-08-05
10861,513,,2026-08-05
10862,543,1500,02.08.2026
10863,543,1500,broken_date
10864,548,5000,broken_date
10865,511,2500,02.08.2026
10866,547,,2026/08/03
10867,523,5000,2026/08/03
10868,516,5000,2026-08-05
10869,531,1500,2026-08-01
10870,511,5000,2026/08/03
10871,516,12300,2026-08-01
10872,508,-3000,broken_date
10873,504,    ,2026-08-01
10874,540,null_error,broken_date
10875,504,1500,02.08.2026
10876,525,12300,02.08.2026
10877,503,12300,2026-08-05
10878,532,null_error,2026/08/03
10879,503,-4500,2026-08-05
10880,527,-3000,broken_date
10881,529,,2026-08-05
10882,532,1500,2026-08-01
10883,519,12300,broken_date
10884,521,    ,02.08.2026
10885,505,2500,2026/08/03
10886,518,12300,broken_date
10887,528,2500,broken_date
10888,542,5000,2026-08-01
10889,522,2500,2026/08/03
10890,521,12300,02.08.2026
10891,506,2500,broken_date
10892,501,5000,broken_date
10893,505,2500,2026-08-01
10894,541,,2026-08-05
10895,512,,02.08.2026
10896,526,12300,2026/08/03
10897,546,5000,broken_date
10898,534,1500,broken_date
10899,549,-4500,02.08.2026
10900,514,12300,2026-08-05
10901,526,    ,broken_date
10902,545,5000,02.08.2026
10903,527,1500,2026-08-01
10904,509,5000,2026-08-05
10905,526,12300,2026/08/03
10906,547,12300,broken_date
10907,522,12300,02.08.2026
10908,547,2500,2026-08-01
10909,530,12300,2026/08/03
10910,543,2500,02.08.2026
10911,548,2500,02.08.2026
10912,517,2500,2026/08/03
10913,526,1500,2026-08-01
10914,536,1500,2026-08-01
10915,501,2500,2026-08-05
10916,508,1500,broken_date
10917,549,1500,2026/08/03
10918,535,5000,2026/08/03
10919,515,2500,2026/08/03
10920,547,5000,2026-08-01
10921,522,null_error,broken_date
10922,514,2500,2026-08-05
10923,526,5000,02.08.2026
10924,528,2500,02.08.2026
10925,523,-3000,2026/08/03
10926,514,2500,broken_date
10927,524,5000,2026-08-01
10928,502,1500,broken_date
10929,545,1500,broken_date
10930,526,1500,2026-08-01
10931,514,12300,2026/08/03
10932,507,12300,broken_date
10933,503,12300,02.08.2026
10934,547,1500,2026-08-01
10935,523,5000,2026-08-05
10936,546,5000,2026/08/03
10937,543,2500,2026-08-01
10938,547,5000,2026-08-05
10939,545,2500,2026-08-05
10940,518,12300,broken_date
10941,538,2500,broken_date
10942,535,2500,broken_date
10943,515,12300,2026-08-01
10944,525,1500,2026-08-01
10945,537,1500,2026/08/03
10946,528,1500,broken_date
10947,510,null_error,2026-08-05
10948,539,12300,02.08.2026
10949,517,5000,2026/08/03
10950,539,12300,2026-08-01
10951,522,1500,2026/08/03
10952,526,null_error,2026/08/03
10953,544,5000,2026/08/03
10954,525,1500,2026/08/03
10955,517,5000,02.08.2026
10956,513,1500,broken_date
