"tx_id","user_id","clean_amount"
"10377","542",0
"10378","531",0
"10379","503",12300
"10380","540",0
"10381","546",0
"10382","524",5000
"10383","532",12300
"10384","547",5000
"10385","522",12300
"10386","523",3000
"10387","502",5000
"10388","527",12300
"10389","542",5000
"10390","502",2500
"10391","526",5000
"10392","517",1500
"10393","540",1500
"10394","533",12300
"10395","509",5000
"10396","543",0
"10397","548",0
"10398","539",5000
"10399","529",0
"10400","542",5000
"10401","526",3000
"10402","535",1500
"10403","525",5000
"10404","524",2500
"10405","513",1500
"10406","507",2500
"10407","536",0
"10408","545",1500
"10409","520",1500
"10410","501",12300
"10411","508",3000
"10412","546",1500
"10413","516",5000
"10414","514",12300
"10415","512",2500
"10416","523",5000
"10417","515",5000
"10418","528",5000
"10419","534",4500
"10420","502",1500
"10421","532",12300
"10422","523",12300
"10423","522",0
"10424","525",2500
"10425","522",2500
"10426","522",12300
"10427","549",0
"10428","542",1500
"10429","506",12300
"10430","515",3000
"10431","543",3000
"10432","537",2500
"10433","533",3000
"10434","508",5000
"10435","544",12300
"10436","544",12300
"10437","505",0
"10438","539",12300
"10439","504",0
"10440","506",3000
"10441","545",1500
"10442","532",12300
"10443","530",2500
"10444","547",12300
"10445","535",4500
"10446","540",12300
"10447","516",5000
"10448","513",1500
"10449","542",1500
"10450","530",5000
"10451","519",2500
"10452","517",12300
"10453","519",5000
"10454","528",3000
"10455","526",0
"10456","537",5000
"10457","526",2500
"10458","523",5000
"10459","509",0
"10460","512",5000
"10461","501",1500
"10462","501",0
"10463","547",12300
"10464","534",12300
"10465","532",4500
"10466","548",4500
"10467","525",0
"10468","540",5000
"10469","545",5000
"10470","501",4500
"10471","516",2500
"10472","539",5000
"10473","505",3000
"10474","522",2500
"10475","529",5000
"10476","503",12300
"10477","512",1500
"10478","526",2500
"10479","516",5000
"10480","537",1500
"10481","522",5000
"10482","529",12300
"10483","514",12300
"10484","528",5000
"10485","505",5000
"10486","547",3000
"10487","549",12300
"10488","530",1500
"10489","546",4500
"10490","505",1500
"10491","512",12300
"10492","516",1500
"10493","526",2500
"10494","526",12300
"10495","548",2500
"10496","521",5000
"10497","539",2500
"10498","536",2500
"10499","533",1500
"10500","530",1500
"10501","537",4500
"10502","523",5000
"10503","510",5000
"10504","505",2500
"10505","536",0
"10506","534",3000
"10507","531",0
"10508","510",12300
"10509","519",12300
"10510","532",12300
"10511","501",5000
"10512","505",2500
"10513","545",5000
"10514","504",0
"10515","516",1500
"10516","524",1500
"10517","516",3000
"10518","502",5000
"10519","549",1500
"10520","528",2500
"10521","532",4500
"10522","527",12300
"10523","520",4500
"10524","524",1500
"10525","512",12300
"10526","535",1500
"10527","533",0
"10528","533",2500
"10529","543",5000
"10530","537",1500
"10531","512",5000
"10532","503",3000
"10533","501",12300
"10534","533",12300
"10535","540",1500
"10536","510",1500
"10537","543",5000
"10538","544",2500
"10539","529",5000
"10540","513",2500
"10541","512",5000
"10542","531",1500
"10543","546",2500
"10544","502",5000
"10545","535",0
"10546","523",12300
"10547","517",12300
"10548","526",0
"10549","508",0
"10550","529",0
"10551","526",1500
"10552","510",2500
"10553","526",2500
"10554","534",5000
"10555","541",2500
"10556","507",1500
"10557","504",3000
"10558","545",5000
"10559","511",2500
"10560","529",1500
"10561","536",1500
"10562","525",5000
"10563","521",3000
"10564","536",1500
"10565","510",5000
"10566","537",0
"10567","509",3000
"10568","524",2500
"10569","535",5000
"10570","549",4500
"10571","535",4500
"10572","548",3000
"10573","536",5000
"10574","518",5000
"10575","549",2500
"10576","539",1500
"10577","532",5000
"10578","524",1500
"10579","523",12300
"10580","532",2500
"10581","537",1500
"10582","512",2500
"10583","549",5000
"10584","513",1500
"10585","523",5000
"10586","525",1500
"10587","535",5000
"10588","541",2500
"10589","530",12300
"10590","517",2500
"10591","549",1500
"10592","520",5000
"10593","548",12300
"10594","525",1500
"10595","522",5000
"10596","513",2500
"10597","519",5000
"10598","549",2500
"10599","536",12300
"10600","512",1500
"10601","541",12300
"10602","519",4500
"10603","512",2500
"10604","509",1500
"10605","507",12300
"10606","528",1500
"10607","514",1500
"10608","531",1500
"10609","519",3000
"10610","547",4500
"10611","516",12300
"10612","505",1500
"10613","535",0
"10614","512",5000
"10615","525",12300
"10616","521",2500
"10617","536",12300
"10618","523",1500
"10619","516",1500
"10620","539",1500
"10621","545",2500
"10622","542",0
"10623","539",12300
"10624","514",12300
"10625","531",1500
"10626","505",12300
"10627","535",1500
"10628","523",1500
"10629","529",5000
"10630","543",1500
"10631","511",0
"10632","518",2500
"10633","547",12300
"10634","512",2500
"10635","509",5000
"10636","510",1500
"10637","544",5000
"10638","517",1500
"10639","538",0
"10640","507",2500
"10641","546",2500
"10642","513",5000
"10643","540",0
"10644","542",5000
"10645","509",4500
"10646","527",12300
"10647","502",2500
"10648","505",2500
"10649","529",1500
"10650","537",12300
"10651","538",5000
"10652","519",2500
"10653","508",1500
"10654","548",2500
"10655","545",3000
"10656","501",1500
"10657","522",3000
"10658","517",12300
"10659","507",2500
"10660","525",1500
"10661","545",5000
"10662","504",12300
"10663","536",2500
"10664","506",0
"10665","531",5000
"10666","519",2500
"10667","544",1500
"10668","539",2500
"10669","527",5000
"10670","510",1500
"10671","526",12300
"10672","519",0
"10673","539",12300
"10674","503",4500
"10675","545",12300
"10676","513",3000
"10677","528",12300
"10678","520",3000
"10679","528",2500
"10680","508",1500
"10681","541",4500
"10682","539",4500
"10683","501",2500
"10684","503",5000
"10685","513",12300
"10686","528",12300
"10687","549",5000
"10688","525",0
"10689","533",12300
"10690","538",5000
"10691","506",5000
"10692","544",1500
"10693","545",2500
"10694","532",5000
"10695","545",5000
"10696","547",0
"10697","521",5000
"10698","516",2500
"10699","521",2500
"10700","511",2500
"10701","537",12300
"10702","536",3000
"10703","535",5000
"10704","519",1500
"10705","520",1500
"10706","518",5000
"10707","547",5000
"10708","541",5000
"10709","549",0
"10710","514",2500
"10711","515",5000
"10712","531",2500
"10713","501",0
"10714","503",5000
"10715","516",5000
"10716","523",3000
"10717","511",12300
"10718","512",0
"10719","510",5000
"10720","532",12300
"10721","516",1500
"10722","508",0
"10723","538",2500
"10724","512",0
"10725","524",1500
"10726","528",5000
"10727","508",1500
"10728","528",2500
"10729","536",5000
"10730","526",2500
"10731","508",5000
"10732","528",3000
"10733","528",12300
"10734","537",4500
"10735","541",5000
"10736","536",12300
"10737","527",12300
"10738","517",12300
"10739","509",2500
"10740","533",3000
"10741","520",0
"10742","513",12300
"10743","528",5000
"10744","548",2500
"10745","529",4500
"10746","513",0
"10747","546",5000
"10748","535",5000
"10749","506",12300
"10750","518",0
"10751","505",5000
"10752","547",0
"10753","525",2500
"10754","502",5000
"10755","510",2500
"10756","530",5000
"10757","545",3000
"10758","505",12300
"10759","533",0
"10760","501",12300
"10761","518",1500
"10762","532",2500
"10763","547",12300
"10764","549",0
"10765","511",0
"10766","521",2500
"10767","526",12300
"10768","525",5000
"10769","522",1500
"10770","527",3000
"10771","549",12300
"10772","513",0
"10773","533",4500
"10774","534",4500
"10775","541",2500
"10776","535",5000
"10777","501",2500
"10778","521",5000
"10779","548",1500
"10780","506",1500
"10781","528",2500
"10782","517",1500
"10783","505",12300
"10784","531",5000
"10785","505",0
"10786","538",1500
"10787","503",3000
"10788","523",12300
"10789","537",2500
"10790","537",5000
"10791","510",12300
"10792","510",0
"10793","519",1500
"10794","517",2500
"10795","521",12300
"10796","514",4500
"10797","509",1500
"10798","546",2500
"10799","501",1500
"10800","545",1500
"10801","513",1500
"10802","504",1500
"10803","501",1500
"10804","549",1500
"10805","540",0
"10806","532",5000
"10807","534",2500
"10808","528",2500
"10809","531",5000
"10810","508",2500
"10811","539",4500
"10812","526",5000
"10813","534",2500
"10814","503",2500
"10815","512",12300
"10816","501",3000
"10817","544",12300
"10818","505",5000
"10819","530",5000
"10820","530",2500
"10821","517",1500
"10822","548",2500
"10823","547",1500
"10824","523",5000
"10825","515",1500
"10826","537",4500
"10827","521",12300
"10828","514",12300
"10829","502",12300
"10830","511",4500
"10831","539",0
"10832","538",5000
"10833","534",5000
"10834","538",5000
"10835","534",0
"10836","518",12300
"10837","530",12300
"10838","515",2500
"10839","527",5000
"10840","534",1500
"10841","538",2500
"10842","533",2500
"10843","524",5000
"10844","515",4500
"10845","530",12300
"10846","542",12300
"10847","517",1500
"10848","505",1500
"10849","529",0
"10850","504",0
"10851","510",2500
"10852","517",12300
"10853","510",1500
"10854","517",12300
"10855","520",0
"10856","524",0
"10857","505",12300
"10858","534",4500
"10859","506",2500
"10860","502",4500
"10861","513",0
"10862","543",1500
"10863","543",1500
"10864","548",5000
"10865","511",2500
"10866","547",0
"10867","523",5000
"10868","516",5000
"10869","531",1500
"10870","511",5000
"10871","516",12300
"10872","508",3000
"10873","504",0
"10874","540",0
"10875","504",1500
"10876","525",12300
"10877","503",12300
"10878","532",0
"10879","503",4500
"10880","527",3000
"10881","529",0
"10882","532",1500
"10883","519",12300
"10884","521",0
"10885","505",2500
"10886","518",12300
"10887","528",2500
"10888","542",5000
"10889","522",2500
"10890","521",12300
"10891","506",2500
"10892","501",5000
"10893","505",2500
"10894","541",0
"10895","512",0
"10896","526",12300
"10897","546",5000
"10898","534",1500
"10899","549",4500
"10900","514",12300
"10901","526",0
"10902","545",5000
"10903","527",1500
"10904","509",5000
"10905","526",12300
"10906","547",12300
"10907","522",12300
"10908","547",2500
"10909","530",12300
"10910","543",2500
"10911","548",2500
"10912","517",2500
"10913","526",1500
"10914","536",1500
"10915","501",2500
"10916","508",1500
"10917","549",1500
"10918","535",5000
"10919","515",2500
"10920","547",5000
"10921","522",0
"10922","514",2500
"10923","526",5000
"10924","528",2500
"10925","523",3000
"10926","514",2500
"10927","524",5000
"10928","502",1500
"10929","545",1500
"10930","526",1500
"10931","514",12300
"10932","507",12300
"10933","503",12300
"10934","547",1500
"10935","523",5000
"10936","546",5000
"10937","543",2500
"10938","547",5000
"10939","545",2500
"10940","518",12300
"10941","538",2500
"10942","535",2500
"10943","515",12300
"10944","525",1500
"10945","537",1500
"10946","528",1500
"10947","510",0
"10948","539",12300
"10949","517",5000
"10950","539",12300
"10951","522",1500
"10952","526",0
"10953","544",5000
"10954","525",1500
"10955","517",5000
"10956","513",1500
"10957","520",12300
"10958","525",1500
"10959","504",3000
"10960","510",3000
"10961","503",12300
"10962","541",5000
"10963","545",5000
"10964","518",2500
"10965","547",12300
"10966","536",0
"10967","547",4500
"10968","522",2500
"10969","534",2500
"10970","547",1500
"10971","508",1500
"10972","540",0
"10973","549",1500
"10974","544",5000
"10975","519",2500
"10976","542",1500
"10977","541",0
"10978","537",1500
"10979","506",1500
"10980","526",3000
"10981","534",0
"10982","545",2500
"10983","506",12300
"10984","537",2500
"10985","533",0
"10986","522",0
"10987","521",4500
"10988","506",5000
"10989","506",2500
"10990","548",4500
"10991","504",5000
"10992","530",5000
"10993","511",5000
"10994","530",4500
"10995","531",12300
"10996","524",2500
"10997","509",0
"10998","503",1500
"10999","531",0
"11000","540",12300
